Neighbourhood (1=Randwyck, 2=heugemerveld, 3=Heugem);ZSES_score (Zscore, standardised score);Threat_score (Severity+Vulnerability);Coping_score (Self efficacy, response efficacy, response cost)
3,00;-0,41;5,00;4,00
3,00;-0,41;5,00;4,00
2,00;-1,47;1,00;5,00
1,00;-0,43;3,75;3,50
1,00;-1,47;2,25;5,00
1,00;-0,49;2,75;1,50
2,00;-0,83;5,00;5,00
3,00;-0,41;2,25;3,00
3,00;-0,41;4,00;3,50
2,00;-0,83;5,00;5,00
1,00;-0,24;4,00;1,00
2,00;-1,47;1,00;5,00
1,00;-0,43;3,75;3,50
1,00;-1,47;2,25;5,00
1,00;-0,49;2,75;1,50
2,00;-0,83;5,00;5,00
3,00;-0,41;2,25;3,00
3,00;-0,41;4,00;3,50
1,00;-0,24;4,00;1,00
3,00;0,09;5,00;3,50
2,00;-0,62;4,00;1,00
2,00;0,60;5,00;2,50
2,00;-1,05;5,00;2,00
2,00;-0,08;4,75;3,00
3,00;0,60;2,75;1,00
3,00;-0,62;5,00;1,00
2,00;-0,62;4,00;1,00
2,00;0,60;5,00;2,50
2,00;-1,05;5,00;2,00
2,00;-0,08;4,75;3,00
3,00;0,60;2,75;1,00
3,00;-0,62;5,00;1,00
2,00;-0,62;3,50;3,50
1,00;0,10;1,75;4,00
3,00;0,35;4,25;1,00
2,00;-0,62;3,50;3,50
1,00;-0,62;2,50;1,00
2,00;-0,37;4,75;1,50
2,00;-0,62;3,50;3,50
1,00;0,10;1,75;4,00
3,00;0,35;4,25;1,00
1,00;-0,62;2,50;1,00
2,00;-0,37;4,75;1,50
1,00;0,54;2,75;2,00
1,00;0,79;3,25;2,50
3,00;0,79;4,25;3,00
3,00;0,79;3,75;4,00
1,00;0,54;2,00;3,00
1,00;0,54;2,75;2,00
1,00;0,79;3,25;2,50
3,00;0,79;4,25;3,00
3,00;0,79;3,75;4,00
1,00;0,54;2,00;3,00
2,00;0,79;4,50;3,50
1,00;0,14;3,25;5,00
2,00;-0,43;5,00;1,00
1,00;0,22;3,25;3,00
1,00;0,54;3,25;1,00
1,00;0,54;3,00;3,00
3,00;-0,03;3,75;1,00
3,00;0,39;4,25;3,00
1,00;0,54;2,00;3,00
1,00;0,54;2,00;3,00
1,00;0,79;3,00;5,00
1,00;0,79;2,00;5,00
1,00;-0,09;2,50;3,50
2,00;-1,43;5,00;1,00
2,00;0,39;5,00;1,00
2,00;0,79;4,50;3,50
1,00;0,14;3,25;5,00
2,00;-0,43;5,00;1,00
1,00;0,22;3,25;3,00
1,00;0,54;3,25;1,00
1,00;0,54;3,00;3,00
3,00;-0,03;3,75;1,00
3,00;0,39;4,25;3,00
1,00;0,54;2,00;3,00
1,00;0,54;2,00;3,00
1,00;0,79;3,00;5,00
1,00;0,79;2,00;5,00
1,00;-0,09;2,50;3,50
2,00;-1,43;5,00;1,00
2,00;0,39;5,00;1,00
3,00;0,54;4,75;4,00
2,00;-0,17;2,00;1,50
1,00;0,65;2,00;1,50
1,00;0,65;1,75;1,00
1,00;0,08;3,50;4,50
2,00;-0,17;2,00;1,50
3,00;0,40;5,00;1,00
2,00;-0,17;2,00;1,50
1,00;0,65;2,00;1,50
1,00;0,65;1,75;1,00
1,00;0,08;3,50;4,50
3,00;0,40;5,00;1,00
2,00;-0,33;5,00;1,00
2,00;0,67;4,25;2,50
2,00;-0,33;3,00;2,00
2,00;-0,01;5,00;3,00
3,00;0,14;5,00;5,00
3,00;0,42;3,00;3,00
2,00;-0,33;5,00;1,00
2,00;0,67;4,25;2,50
3,00;-0,24;4,50;3,00
2,00;-0,58;4,75;1,50
2,00;-0,33;5,00;1,00
2,00;0,67;4,25;2,50
2,00;-0,33;3,00;2,00
2,00;-0,01;5,00;3,00
3,00;0,14;5,00;5,00
3,00;0,42;3,00;3,00
3,00;-0,24;4,50;3,00
2,00;-0,58;4,75;1,50
3,00;0,40;3,50;2,00
3,00;0,24;3,75;2,50
